leftElbow,rightElbow,leftShould,rightShould,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,leftWrist,rightWrist,Xangle,time,nansec,diftime
97,107,70,76,23,25,18,12,25,25,30,72,0.8771044628181089,1709574160.7101696,1709574160710169700,6787416700
93,107,72,74,24,23,20,10,26,26,30,63,1.7192203483958508,1709574160.9106853,1709574160910685200,6987932200
84,103,80,64,30,23,20,11,24,25,52,96,1.7964846820294647,1709574161.10266,1709574161102659900,7179906900
40,88,81,55,33,24,13,8,18,23,60,84,1.2610916634845877,1709574161.2976465,1709574161297646600,7374893600
35,88,86,54,25,26,13,10,18,20,42,73,0.8586224559018698,1709574161.4883747,1709574161488374800,7565621800
36,87,93,61,27,31,10,11,17,18,29,63,1.2092254180404411,1709574161.6609137,1709574161660913600,7738160600
40,88,95,63,29,34,8,11,12,16,31,62,0.6591679324291737,1709574161.8484368,1709574161848436800,7925683800
46,88,96,61,34,35,9,12,10,17,21,58,1.9036407222932088,1709574162.0219715,1709574162021971400,8099218400
55,91,96,64,38,41,7,17,10,18,18,63,1.628419129898832,1709574162.205568,1709574162205567900,8282814900
41,107,94,57,40,37,8,19,11,22,32,70,2.494624998077176,1709574162.3855953,1709574162385595500,8462842500
39,99,99,61,38,44,9,16,8,22,24,62,1.7561067150788132,1709574162.576592,1709574162576592000,8653839000
38,106,97,59,32,44,6,16,12,15,35,68,1.0290016702303697,1709574162.7800481,1709574162780048200,8857295200
35,116,98,58,31,46,4,19,13,16,43,61,0.8439242460884022,1709574162.9545805,1709574162954580500,9031827500
33,95,100,62,33,42,4,16,14,17,36,74,1.3371929782738166,1709574163.1520522,1709574163152052300,9229299300
36,115,97,58,33,42,4,16,14,17,36,63,0.9229007397187879,1709574163.3196046,1709574163319604700,9396851700
44,91,93,59,42,43,13,25,10,15,27,56,4.177263089443216,1709574163.500122,1709574163500122200,9577369200
42,88,85,53,42,36,12,21,15,16,32,69,5.003590612607651,1709574163.679642,1709574163679641800,9756888800
39,87,84,53,40,35,12,22,12,18,36,65,4.502540160883248,1709574163.8634453,1709574163863445200,9940692200
44,97,80,53,33,37,13,26,9,20,26,53,3.4615416483717243,1709574164.0340095,1709574164034009400,10111256400
39,93,83,53,32,36,12,26,8,19,27,47,4.431191273881779,1709574164.214645,1709574164214645000,10291892000
39,93,84,54,34,36,18,31,9,19,28,45,6.766715022841809,1709574164.4051352,1709574164405135100,10482382100
38,97,79,53,31,38,11,27,8,19,24,47,5.395311326496986,1709574164.5686982,1709574164568698000,10645945000
45,111,80,50,29,38,9,27,8,19,26,36,4.629681713413584,1709574164.7352533,1709574164735253300,10812500300
44,113,82,48,31,38,9,29,8,19,15,34,5.477353902031104,1709574164.9097855,1709574164909785500,10987032500
51,128,82,48,25,36,4,20,8,19,17,35,4.43943013260211,1709574165.0783353,1709574165078335200,11155582200
47,126,86,48,31,37,5,18,6,19,16,41,5.620105105128945,1709574165.2459369,1709574165245937000,11323184000
45,116,84,49,30,38,10,23,8,20,10,37,6.01701627168907,1709574165.4174812,1709574165417481300,11494728300
46,119,83,49,26,37,8,24,8,20,14,37,5.255103963049657,1709574165.5905259,1709574165590526000,11667773000
51,103,82,53,26,38,7,24,8,20,16,41,4.612511116083163,1709574165.7750566,1709574165775056700,11852303700
54,116,80,51,25,38,6,23,7,20,19,44,4.664347706104926,1709574165.9371328,1709574165937132900,12014379900
41,110,82,51,28,38,6,22,6,20,27,49,5.327124381849062,1709574166.101692,1709574166101692000,12178939000
43,131,82,48,30,38,10,27,6,20,24,43,4.935922465985436,1709574166.2602675,1709574166260267600,12337514600
35,148,81,50,25,35,5,19,7,19,32,40,4.879114363821002,1709574166.4198408,1709574166419840800,12497087800
36,133,81,49,22,34,5,18,8,21,35,47,5.529225968417994,1709574166.5784168,1709574166578416800,12655663800
40,119,79,48,23,34,5,20,8,21,34,51,5.7587750250226595,1709574166.7579381,1709574166757938100,12835185100
